nombre,genero,tipo,padre,activa,hoyos,par_decl,par_suma,flags,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,revision_juanjo
C.G. Barquito Chanaral - Barquito Chanaral (DAMAS),D,18h,,SI,0,72,,SIN_HOYOS,,,,,,,,,,,,,,,,,,,
C.G. Barquito Chanaral - Barquito Chanaral (VARONES),V,18h,,SI,0,72,,SIN_HOYOS,,,,,,,,,,,,,,,,,,,
C.G. Rio Blanco - Rio Blanco (DAMAS),D,9h,,SI,0,35,,SIN_HOYOS,,,,,,,,,,,,,,,,,,,
C.G. Rio Blanco - Rio Blanco (VARONES),V,9h,,SI,0,35,,SIN_HOYOS,,,,,,,,,,,,,,,,,,,
Iquique C.C. - Iquique (DAMAS),D,18h,,SI,0,72,,SIN_HOYOS,,,,,,,,,,,,,,,,,,,
Iquique C.C. - Iquique (VARONES),V,18h,,SI,0,72,,SIN_HOYOS,,,,,,,,,,,,,,,,,,,
A.A. Antofagasta - Autoclub (DAMAS),D,18h,,SI,18,60,60,,3,3,4,3,3,3,4,3,4,3,3,4,3,3,3,4,3,4,
A.A. Antofagasta - Autoclub (VARONES),V,18h,,SI,18,60,60,,3,3,4,3,3,3,4,3,4,3,3,4,3,3,3,4,3,4,
C.C. Bellavista - Bellavista (DAMAS),D,18h,,SI,18,68,68,,4,3,4,4,3,4,5,3,4,4,3,4,4,3,4,5,3,4,
C.C. Bellavista - Bellavista (VARONES),V,18h,,SI,18,68,68,,4,3,4,4,3,4,5,3,4,4,3,4,4,3,4,5,3,4,
C.C. Coya - Coya (DAMAS),D,18h,,SI,18,72,72,,4,3,4,4,4,5,4,3,5,4,4,4,3,4,3,5,4,5,
C.C. Coya - Coya (VARONES),V,18h,,SI,18,72,72,,4,3,4,4,4,5,4,3,5,4,4,4,3,4,3,5,4,5,
C.C. Granadilla - Granadilla (DAMAS),D,18h,,SI,18,72,72,,5,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,5,5,
C.C. Granadilla - Granadilla (VARONES),V,18h,,SI,18,72,72,,5,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,5,5,
C.C. La Posada - La Posada (DAMAS),D,18h,,SI,18,72,72,,4,4,5,3,4,5,4,3,4,5,4,3,4,4,4,3,5,4,
C.C. La Posada - La Posada (VARONES),V,18h,,SI,18,72,72,,4,4,5,3,4,5,4,3,4,5,4,3,4,4,4,3,5,4,
